route_or_page,entry_files,source_tables,current_filters,current_date_logic,current_employee_user_filters,future_branch_modes,must_aggregate_per_branch_before_totals,leakage_risk,recommended_branch_filter_location,cache_keys_involved,evidence_label,priority,notes
/admin/reports/full-day + GET /api/admin/reports/full-day,src/app/admin/reports/full-day/page.tsx; src/app/api/admin/reports/full-day/route.ts; src/lib/reports/full-day-report.ts,"TblinvServHead,TblinvServPayment,TblCashMove,TblExpINCat,TblPaymentMethods,TblExpCatEmpMap,TblEmpDailyPayroll,TblEmpAttendance,TblEmpDailyTarget,TblEmp,TblNewDay,TblEmpLedgerEntry",workDate only,Calendar CAST(invDate) + WorkDate; MTD calendar month start→workDate,Staff lists unscoped by branch,selected + all + comparison,Yes,Critical,SQL WHERE BranchID in report service before aggregations,none server; WhatsApp outbound,Confirmed from code,P0,Owner P&L
POST /api/admin/reports/full-day/owner-whatsapp,src/app/api/admin/reports/full-day/owner-whatsapp/route.ts,same as full-day,date,same,none,selected branch only default,Yes,Critical,build report with branch then send,WHATSAPP_DEFAULT_BRANCH_NAME,Confirmed from code,P0,
/admin/reports/partners + GET /api/admin/reports/partners,src/app/api/admin/reports/partners/route.ts; src/lib/services/partnersReportService.ts,"invoices details,TblCashMove,TblExpINCat,TblExpCatEmpMap,TblEmp,TblEmpLedgerEntry + overrides JSON",year month,calendar month getMonthDateRange,employee overrides file,all + comparison + selected; per-branch partner %,Yes before applying PARTNERS %,Critical,partnersReportService per branch then consolidate,data/partners-employee-overrides.json,Confirmed from code,P0,PARTNERS hardcoded in monthly-report.ts
/admin/reports/partners-overrides,partners-overrides page + API,filesystem JSON,none,N/A,emp lists,per-branch overrides,N/A,Critical,store keyed by BranchID,same file,Confirmed from code,P1,
/admin/reports/employee-services + GET /api/reports/employee-services,employee-services report service,"TblinvServHead,Detail,TblEmp,TblPro,TblClient",fromDate toDate optional employeeId,CAST(invDate AS date),optional emp,active/selected,Yes for salon totals,High,SQL branch filter on head,none,Confirmed from code,P0,
POST /api/reports/employee-services/reassign,reassign route,TblinvServDetail EmpID,invoice lines,N/A,target emp,parent invoice branch only,N/A,High,authorize via invoice BranchID,none,Confirmed from code,P0,write path also in API CSV
/sales/today + GET /api/sales/today,sales/today route,"Head Detail Payment ShiftMove Shift User Emp Pro NewDay",date default NewDay; shift/emp filters,calendar invDate; shifts by sm.NewDay,shift user emp,active branch,Yes KPIs,High,join day/shift branch,none,Confirmed from code,P0,
GET /api/sales/recent + /api/sales/more,sales/recent|more,TblinvServHead(+detail),TOP N none,last invDate global,none,active branch,N/A list,Critical,WHERE BranchID=active,none,Confirmed from code,P0,RecentSalesSidebar
GET /api/sales/recent-invoices + useRecentInvoices,recentInvoicesQuery.ts; useRecentInvoices.ts,Head Detail Payment Client,q payment employees dates amount status,calendar dates,employees filter,active/selected,N/A,High,API filter + cache key,buildRecentInvoicesCacheKey without branch,Confirmed from code,P0,
/reports/monthly + GET /api/reports/monthly,TreasurySummaryService,TblCashMove (+shift),year month,calendar,optional shift user,selected/all/compare,Yes,Critical,TreasurySummaryService,none,Confirmed from code,P0,
/admin/reports/employee-monthly-work-revenue,emp monthly work revenue APIs,"TblEmp schedule dayoff overrides attendance + revenue",empId year month,calendar month,empId,selected emp; tag branches on lines,Per branch if multi-site emp,Med-High,attribute revenue by invoice branch,none,Confirmed from code,P1,
/admin/attendance/daily-payroll + GET /api/payroll/daily,payroll/daily/route.ts,"TblEmpDailyPayroll TblEmp Attendance CashMove ExpCatEmpMap",workDate,WorkDate,all emp with payroll,active branch staff,Yes staff cost,High,payroll query BranchID,none,Confirmed from code,P0,
GET /api/payroll/daily/targets,targets route,TblEmpDailyTarget plans tiers,workDate,WorkDate,emps,active,Yes,High,BranchID on targets,session optional today,Confirmed from code,P0,
GET /api/payroll/monthly,payroll/monthly → sp_GetMonthlyPayroll,SP tables,from to,range,SP,selected/all,Yes inside SP,Critical,extend SP with BranchID,none,Confirmed from code,P0,SP has no branch
GET /api/admin/hr/employee-monthly-report,employee-monthly-payroll lib,"attendance payroll targets ledger schedule",empId year month,calendar+WorkDate,empId,emp-centric with branch tags,Maybe,Med,filter entries by branch optional,none,Confirmed from code,P1,
/api/admin/hr/employee-ledger* (+ summary reconciliation),employeeLedgerService.ts,TblEmpLedgerEntry TblEmp TblCashMove,month empId,payroll month,empId,selected/all; decide balance model,Yes if per-branch balances,Critical,ledger service BranchID,employee-ledger:refresh event,Confirmed from code,P0,
/admin/attendance + GET /api/admin/attendance,admin attendance route,TblEmp WorkSchedule Attendance,date,WorkDate,active emps,active branch assignments,N/A,High,filter emps by assignment,none,Confirmed from code,P0,
GET /api/pos/team-attendance,pos team-attendance,same attendance pattern,work date,WorkDate,team,active,N/A,High,branch assignments,none,Confirmed from code,P0,
GET /api/admin/attendance/freelancers,freelancers route,TblEmp attendance,date,WorkDate,freelancers,active,N/A,Med,branch,none,Confirmed from code,P2,
/budget* + /api/budget*,budget routes,TblBudgetMonth Line + actuals CashMove invoices,year month id,calendar month actuals,none,selected; compare actuals per branch,Yes actuals,Critical,budget + actuals queries,none,Confirmed from code,P1,
/treasury/daily + cashier treasury + /api/treasury/daily-summary|/movements|/current|/hold-breakdown,TreasuryDailyView; treasury APIs,TblCashMove ExpINCat PaymentMethods ShiftMove,newDay dateFrom/To shiftMoveId userId,invDate and/or sm.NewDay,user shift,active,Yes,Critical,all treasury SQL,none,Confirmed from code,P0,
/treasury/period-summary + /api/treasury/period-summary,period-summary route,CashMove ShiftMove NewDay PaymentMethods User,date range MTD,invDate/NewDay,optional user,selected/all/compare,Yes,Critical,period SQL,none,Confirmed from code,P0,
/treasury/summary shift-close daily-close,treasury close UIs,Recon NewDay CashMove,day,NewDay,none,active,Yes,High,branch day,none,Confirmed from code,P0,
/bookings* + GET /api/bookings,bookings route,"Bookings BookingServices Client Emp Pro",date range emp status source client,BookingDate,empId,active,N/A,Critical,Bookings.BranchID,none,Confirmed from code,P0,
/operations + GET /api/operations/flow-board,flow-board/route.ts; operations/page.tsx,"TblEmp Bookings QueueTickets services",date default Cairo business,BookingDate/QueueDate overnight merge,sessionStorage barber id,active,N/A,Critical,API branch filter — currently edge-public!,sessionStorage operations-mobile-barber-id,Confirmed from code,P0,proxy public
/queue/live /queue/new + GET/POST /api/queue,queue/route.ts,QueueTickets services settings Bookings,date Cairo business emp status,QueueDate,emp,active,N/A,Critical,QueueTickets.BranchID,none,Confirmed from code,P0,
GET /api/operations/schedule-control,schedule-control,TblEmp Bookings QueueTickets,day,dates,emps,active,N/A,High,branch,none,Confirmed from code,P1,
GET /api/customers/[id]/history-summary,history-summary route,Client invoices details Pro Emp payments,clientId,all history,none,all branches with branch name on lines,N/A show tags,High,join Branch on invoice head,none,Confirmed from code,P1,shared client OK
/admin/customers/follow-up + API,follow-up routes,Client invoices FollowUp Emp User,search status,sales dates,none,selected/all,N/A,High,optional branch filter,none,Confirmed from code,P2,
/admin/loyalty + /api/loyalty/stats|/clients|/ledger,loyalty admin APIs,ClientLoyalty Tier PointLedger Client,search pagination; stats unfiltered,CreatedAt today for stats,none,points global; ops stats may branch,Yes for site stats,Critical stats,stats query,none,Confirmed from code,P1,
/api/public/client/loyalty/*,public loyalty,client scoped,client session,—,client,global client OK,N/A,Low-Med,client auth,none,Confirmed from code,P3,
/admin/cut-club/store* + admin store APIs,store.service.ts,StoreCategory Item ClientInventory mystery,optional SalonID when passed; stats ignore,N/A,none,selected SalonID/BranchID,Yes stats,High,force SalonID filter in getStoreStats,none,Confirmed from code,P1,
/api/public/client/store,public store,store items,salonId optional NULL OR match,—,client,active site,N/A,Med,server maps host→branch,none,Confirmed from code,P1,
GET /api/public/booking/available-slots,available-slots + bookingAvailabilityEngine,"schedules attendance QueueTickets Bookings",date serviceIds mode empId,calendar + overnight,emp mode,active site branch,N/A,Critical,filter busy intervals by branch; keep global emp conflict if required,settings cache,Confirmed from code,P0,
GET /api/public/booking/available-days,available-days route,WorkSchedule Queue Bookings DayOff Overrides Emp,range services,calendar,barbers,active site,N/A,Critical,branch filter,settings cache,Confirmed from code,P0,
/api/public/booking/check-slot|/plan|/barbers|/services|/config|/upcoming,public booking family,Emp Pro Bookings schedules,various,—,various,active site,N/A,Critical,site branch config, __pos_public_settings_cache_v1,Confirmed from code,P0,
Home /income/pos POS shells,pos pages + sale APIs,sales sidebars day shift,session day shift,NewDay,user shift,active,N/A,High,session branch,pos-nav-mode localStorage,Confirmed from code,P0,
/admin/day + /api/day/history|summary,day APIs,NewDay ShiftMove invServHead,day id,NewDay,none,active / per-branch days,Yes,Critical,NewDay.BranchID,dayRolloverSkippedUntil localStorage,Confirmed from code,P0,
/income-review/* /expenses review,incomes expenses list APIs,TblCashMove,from/to or NewDay,invDate/NewDay,none,selected,Yes,High,CashMove.BranchID,none,Confirmed from code,P0,
/reports/expenses/monthly deductions monthly,monthly expense APIs,CashMove maps,year month emp,YEAR/MONTH(invDate),emp,selected/all,Yes,High,BranchID,none,Confirmed from code,P1,
GET /api/deductions,deductions GET,CashMove advance map,today via NewDay,NewDay,emps,active,N/A,High,branch,none,Confirmed from code,P1,
GET /api/auth/session,auth/session,User NewDay ShiftMove permissions,current user,open day global,user,return active branch + day for that branch,N/A,High if day global,resolve branch-scoped day/shift,cookie pos_session,Confirmed from code,P0,foundation
